City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
221,Stornoway,58.2093,-6.3865,35.92,91,75,1.99,GB,1644201343
222,Lompoc,34.6391,-120.4579,59.77,74,0,3.44,US,1644201344
223,Preobrazheniye,42.9019,133.9064,19.15,42,5,6.4,RU,1644201344
224,Meulaboh,4.1363,96.1285,78.46,83,100,2.55,ID,1644201118
225,Aboyne,57.0755,-2.7802,38.23,77,31,7.02,GB,1644201345
226,Svay Rieng,11.0879,105.7993,85.95,52,81,5.1,KH,1644201345
227,Ugoofaaru,5.6667,73.0,80.74,71,66,10.07,MV,1644201345
228,Bethel,41.3712,-73.414,27.55,81,40,0.0,US,1644201346
229,Baculin,7.4525,126.5842,80.51,81,60,8.57,PH,1644201346
230,Comodoro Rivadavia,-45.8667,-67.5,62.46,59,0,2.3,AR,1644201299
231,Shwebo,22.5667,95.7,66.6,40,11,4.56,MM,1644201347
232,Kiama,-34.6833,150.8667,76.24,61,37,1.01,AU,1644201347
233,Warkworth,-36.4,174.6667,74.23,94,100,13.62,NZ,1644201347
234,Puerto del Rosario,28.5004,-13.8627,64.15,88,17,17.27,ES,1644201348
235,East London,-33.0153,27.9116,71.38,82,100,7.52,ZA,1644201348
236,Hailey,43.5196,-114.3153,22.86,74,0,0.0,US,1644201348
237,Palmer,42.1584,-72.3287,22.37,76,20,0.0,US,1644201349
238,Nagato,34.3833,131.2,46.29,43,69,7.25,JP,1644201349
239,Airai,-8.9266,125.4092,75.2,61,29,2.35,TL,1644201349
240,Samarai,-10.6167,150.6667,85.35,70,88,11.61,PG,1644201350
241,Bathsheba,13.2167,-59.5167,77.61,83,40,14.97,BB,1644201350
242,Okha,53.5739,142.9478,4.62,94,100,23.8,RU,1644201325
243,Kumul,42.8,93.45,27.0,33,67,7.27,CN,1644201351
244,Port Hardy,50.6996,-127.4199,46.76,81,75,20.71,CA,1644201251
245,Plettenberg Bay,-34.0527,23.3716,69.51,62,0,4.0,ZA,1644201351
246,Lincoln,40.8,-96.667,33.35,56,0,1.01,US,1644201352
247,Portland,45.5234,-122.6762,51.78,81,20,1.01,US,1644201072
248,Souillac,-20.5167,57.5167,77.38,94,75,3.44,MU,1644201353
249,Itarema,-2.9248,-39.9167,78.8,78,2,11.07,BR,1644201101
250,Tanout,14.9709,8.8879,57.9,14,0,13.8,NE,1644201353
251,Mossamedes,-15.1961,12.1522,72.28,70,95,7.43,AO,1644201346
252,Lebu,-37.6167,-73.65,59.22,92,3,15.41,CL,1644201353
253,Zabul Province,32.25,67.25,32.92,52,0,3.65,AF,1644201354
254,Kieta,-6.2167,155.6333,86.86,68,100,11.68,PG,1644201354
255,Meadow Lake,34.8014,-106.5436,34.3,67,48,5.21,US,1644201355
256,Wanaka,-44.7,169.15,71.11,45,100,3.0,NZ,1644201355
257,Abhā,18.2164,42.5053,48.45,76,17,0.0,SA,1644201055
258,Ostrovnoy,68.0531,39.5131,11.53,88,16,18.66,RU,1644201355
